Weighted Degree
Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase,Importance
syscall_brk,2785,2785,0,0.0,0.650999994832091,0.020970915644003257,0.032404549436289266,0.0,0.0,0.0,0.0
brk,399,399,0,0.0,0.10900000052060932,0.0013709274359294831,0.005451269454969184,0.0,0.0,0.0,0.0
[unknown],47017,46922,95,0.0,5992.755999999645,5.921920156548076,105.2264193397625,0.0,0.9954317778933955,-0.9954317778933955,0.0
syscall_arch_prctl,798,798,0,0.0,0.11000000085914508,0.0011040101161595424,0.003945419229775065,0.0,0.0,0.0,0.0
_dl_sysdep_start,11049,11049,0,0.0,1.4260000025387853,0.04741632728863771,0.030921159635820886,0.0,0.0,0.0,0.0
syscall_access,399,399,0,0.003999994078185409,0.12599999899975955,0.006849623990144795,0.007651809878645374,0.0,0.0,0.0,0.0
access,399,399,0,0.003999994078185409,0.12599999899975955,0.006849623990144795,0.007651809878645374,0.0,0.0,0.0,0.0
syscall_openat,11071,11071,0,0.0,0.7320000004256144,0.006511606891845127,0.016027061157176496,0.0,0.0,0.0,0.0
__GI___open64_nocancel,9823,9823,0,0.0,0.7320000004256144,0.006451185969452623,0.01660738898501213,0.0,0.0,0.0,0.0
_dl_map_object,43370,43370,0,0.0,4.063000000314787,0.0069585427603913496,0.028685774413565436,0.0,0.0,0.0,0.0
syscall_newfstat,11139,11139,0,0.0,0.19099999917671084,0.0017563515662608446,0.003939941669586071,0.0,0.0,0.0,0.0
_fxstat,9823,9823,0,0.0,0.19099999917671084,0.0016784078199461908,0.004017614045491355,0.0,0.0,0.0,0.0
syscall_mmap,42364,42364,0,0.0,16.06599999649916,0.06082940703900802,0.16789181458212182,0.0,0.0,0.0,0.0
mmap64,41710,41710,0,0.0,16.06599999649916,0.05997415487523048,0.16872021207738197,0.0,0.0,0.0,0.0
syscall_close,12962,12962,0,0.0,0.14099999680183828,0.0018255670191041503,0.0027257230539041266,0.0,0.0,0.0,0.0
__GI___close_nocancel,9823,9823,0,0.0,0.14099999680183828,0.0019362719894477278,0.002785337481825268,0.0,0.0,0.0,0.0
syscall_read,11098,11098,0,0.0,0.8600000001024455,0.0026319156441129534,0.011512597900680302,0.0,0.0,0.0,0.0
__GI___read_nocancel,9040,9040,0,0.0,0.8600000001024455,0.0026867256420435265,0.012656537564647062,0.0,0.0,0.0,0.0
syscall_pread64,2778,2778,0,0.0009999930625781417,0.115999995614402,0.0014683225257838477,0.002466608938059297,0.0,0.0,0.0,0.0
__GI___pread64_nocancel,2778,2778,0,0.0009999930625781417,0.115999995614402,0.0014683225257838477,0.002466608938059297,0.0,0.0,0.0,0.0
_dl_map_object_from_fd,990,990,0,0.0009999930625781417,0.018999999156221747,0.001305050505889636,0.000991304274415107,0.0,0.0,0.0,0.0
init_tls,399,399,0,0.0,0.11000000085914508,0.0013458648072742392,0.005555627967978972,0.0,0.0,0.0,0.0
syscall_mprotect,13742,13742,0,0.0,4.063000000314787,0.053304977465008806,0.04940947169871411,0.0,0.0,0.0,0.0
mprotect,13486,13486,0,0.0,4.063000000314787,0.05322593802922737,0.049682864181073004,0.0,0.0,0.0,0.0
dl_main,9453,9453,0,0.0,1.4260000025387853,0.054268063073150005,0.027906110996947293,0.0,0.0,0.0,0.0
syscall_munmap,1231,1231,0,0.0010000003385357559,1.0829999955603853,0.017581640853696737,0.041654809997656854,0.0,0.0,0.0,0.0
munmap,783,783,0,0.009000003046821803,1.0829999955603853,0.02231545317983481,0.050697097976809595,0.0,0.0,0.0,0.0
__brk,2386,2386,0,0.0009999930625781417,0.650999994832091,0.024248533118865552,0.033848928201625536,0.0,0.0,0.0,0.0
__GI___libc_open,385,385,0,0.0020000006770715117,0.3100000030826777,0.007787012996291137,0.017054335453337486,0.0,0.0,0.0,0.0
syscall_dup2,1,1,0,0.0010000003385357559,0.0010000003385357559,0.0,0.0,0.0,0.0,0.0,0.0
__dup2,1,1,0,0.0010000003385357559,0.0010000003385357559,0.0,0.0,0.0,0.0,0.0,0.0
__libc_start_main,218,156,62,0.0,227932.66699999367,4280.790683486309,17862.038428989465,0.0,0.9938105062688463,-0.9938105062688463,0.0
__fxstat64,1316,1316,0,0.0009999930625781417,0.07400000322377309,0.0023381459583952245,0.003245649433500365,0.0,0.0,0.0,0.0
syscall_clone,589,588,1,0.0,35847.978999998304,75.94419015283748,1476.4759430499787,0.4851138353765324,0.4851138353765324,0.0,0.0
__libc_fork,269,268,1,0.0,35847.978999998304,148.20736802979823,2184.780344439929,0.4875717017208413,0.4875717017208413,0.0,0.0
syscall_wait4,461,240,221,0.0,227932.66699999367,3107.974442516267,12306.910582678276,0.9959187143950344,0.9959187143950344,0.0,0.0
__GI___wait4,269,112,157,0.0,227932.66699999367,4488.73136802986,15967.720036639546,0.997315243186231,0.997315243186231,0.0,0.0
main,217,155,62,0.0,227932.66699999367,4300.5178248848615,17900.957563609954,0.0,0.9938195302843016,-0.9938195302843016,0.0
syscall_getppid,255,255,0,0.0009999930625781417,0.005000001692678779,0.0016705882301846263,0.0005897064327274254,0.0,0.0,0.0,0.0
__GI___getppid,255,255,0,0.0009999930625781417,0.005000001692678779,0.0016705882301846263,0.0005897064327274254,0.0,0.0,0.0,0.0
