Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,pageranks
brk,0,1,1,0,974,974,0,0.007143,0.003245
syscall_brk,2,0,2,3796,0,3796,0.045466,0,0.008915
init_cpu_features.constprop.0,0,1,1,0,974,974,0,0.144298,0.003245
[unknown],39,33,72,256748,256748,513496,0.918447,0.282243,0.1126
syscall_arch_prctl,2,0,2,1928,0,1928,0.045466,0,0.008915
mmap64,0,2,2,0,72188,72188,0,0.011001,0.003245
syscall_mmap,4,0,4,74104,0,74104,0.061848,0,0.010929
access,0,1,1,0,978,978,0,0.003952,0.003245
_dl_sysdep_start,4,1,5,19968,19968,39936,0.025155,0.144298,0.013685
syscall_access,1,0,1,978,0,978,0.044344,0,0.006155
__GI___open64_nocancel,0,1,1,0,16994,16994,0,0.001284,0.003245
_dl_map_object,7,7,14,137141,137141,274282,0.008174,0.076087,0.016582
syscall_openat,3,0,3,21494,0,21494,0.083321,0,0.009089
fstatat64,0,2,2,0,16992,16992,0,0.014748,0.003245
syscall_newfstatat,4,0,4,28113,0,28113,0.085697,0,0.010469
__GI___close_nocancel,0,2,2,0,15675,15675,0,0.021072,0.003245
syscall_close,6,0,6,23933,0,23933,0.125949,0,0.017476
__GI___read_nocancel,0,1,1,0,15547,15547,0,0.001284,0.003245
syscall_read,2,0,2,22053,0,22053,0.056298,0,0.008169
__GI___pread64_nocancel,0,1,1,0,3199,3199,0,0.001284,0.003245
syscall_pread64,1,0,1,3199,0,3199,0.011954,0,0.00526
init_tls,0,1,1,0,954,954,0,0.007143,0.003245
__tls_init_tp,0,3,3,0,2617,2617,0,0.000699,0.003245
syscall_set_tid_address,1,0,1,908,0,908,0.00011,0,0.004165
syscall_rseq,2,0,2,1347,0,1347,0.002143,0,0.005085
mprotect,0,3,3,0,23142,23142,0,0.001351,0.003245
dl_main,1,1,2,17034,17034,34068,0.000212,0.003952,0.004165
syscall_mprotect,4,0,4,24081,0,24081,0.059221,0,0.01447
__getrlimit,0,1,1,0,978,978,0,0.003952,0.003245
syscall_prlimit64,1,0,1,978,0,978,0.044344,0,0.006155
munmap,0,2,2,0,1446,1446,0,0.14825,0.003245
syscall_munmap,2,0,2,2854,0,2854,0.045466,0,0.008915
__GI___getrandom,0,2,2,0,1447,1447,0,0.155094,0.003245
syscall_getrandom,2,0,2,1447,0,1447,0.06871,0,0.007535
__brk,0,1,1,0,2822,2822,0,0.144298,0.003245
__GI___libc_open,0,1,1,0,1337,1337,0,0.144298,0.003245
__dup2,0,1,1,0,1,1,0,0,0.003245
__libc_start_call_main,2,5,7,278,278,556,0,0.030615,0.03835
syscall_dup2,1,0,1,1,0,1,0.00481,0,0.009793
__GI___fstatat64,0,3,3,0,11121,11121,0,0.172374,0.003245
_Fork,0,2,2,0,183,183,0,0.000354,0.003245
syscall_clone,1,0,1,27,0,27,0.000056,0,0.004625
syscall_set_robust_list,3,0,3,1380,0,1380,0.002199,0,0.006465
__GI___getppid,0,5,5,0,598,598,0,0.017501,0.003245
main,11,1,12,277,277,554,0.00674,0,0.038013
syscall_getppid,2,0,2,598,0,598,0.00756,0,0.010344
__open64_nocancel,0,3,3,0,3163,3163,0,0.172001,0.003245
__read_nocancel,0,1,1,0,4294,4294,0,0.144298,0.003245
llseek@GLIBC_2.2.5,0,1,1,0,940,940,0,0.144298,0.003245
syscall_lseek,1,0,1,940,0,940,0.044344,0,0.006155
__close_nocancel,0,6,6,0,4907,4907,0,0.223263,0.003245
__GI___wait4,0,6,6,0,580,580,0,0.167953,0.003245
factorial,3,2,5,14,14,28,0.027077,0.001059,0.005983
syscall_wait4,2,0,2,580,0,580,0.049153,0,0.012702
_nl_find_locale,4,1,5,2001,2001,4002,0.093005,0,0.006925
setlocale,1,1,2,2001,2001,4002,0,0.144298,0.009133
__mmap,0,2,2,0,1916,1916,0,0.024329,0.003245
__GI___libc_write,0,1,1,0,11477,11477,0,0.144298,0.003245
syscall_write,1,0,1,11477,0,11477,0.044344,0,0.006155
findMin,3,2,5,119,119,238,0.031716,0,0.004947
subtract,1,2,3,12,12,24,0,0.004392,0.005349
__getpid,0,4,4,0,539,539,0,0.016416,0.003245
syscall_getpid,2,0,2,539,0,539,0.007389,0,0.010482
chain4,4,3,7,205,205,410,0.032689,0.001114,0.008642
chain1,1,1,2,13,13,26,0.000175,0.001059,0.005698
__libc_sigaction,0,3,3,0,72641,72641,0,0.164032,0.003245
syscall_rt_sigaction,3,0,3,72641,0,72641,0.073961,0,0.008516
pthread_sigmask@GLIBC_2.2.5,0,3,3,0,3172,3172,0,0.16467,0.003245
