Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,pageranks
brk,0,1,1,0,160,160,0,0.003289,0.006658
[unknown],9,11,20,2152,2152,4304,0.012494,0.737129,0.078078
syscall_brk,1,0,1,496,0,496,0.194042,0,0.0127
access,0,1,1,0,168,168,0,0,0.006658
_dl_sysdep_start,4,1,5,990,1126,2116,0,0.003289,0.034091
syscall_access,1,0,1,168,0,168,0.194042,0,0.0127
__GI___open64_nocancel,0,1,1,0,336,336,0,0.024096,0.006658
_dl_map_object,6,5,11,1848,1848,3696,0.091538,0.447469,0.034514
syscall_openat,4,0,4,510,0,510,0.428997,0,0.02694
_fxstat,0,2,2,0,336,336,0,0.13749,0.006658
syscall_newfstat,4,0,4,675,0,675,0.43076,0,0.02694
mmap64,0,1,1,0,1176,1176,0,0,0.006658
syscall_mmap,2,0,2,1343,0,1343,0,0,0.01797
__GI___close_nocancel,0,2,2,0,336,336,0,0.112065,0.006658
syscall_close,5,0,5,843,0,843,0.334179,0,0.031742
__GI___read_nocancel,0,1,1,0,168,168,0,0.024096,0.006658
syscall_read,3,0,3,600912,0,600912,0.388127,0,0.026587
__GI___pread64_nocancel,0,2,2,0,1008,1008,0,0.02589,0.006658
syscall_pread64,1,0,1,1008,0,1008,0.117792,0,0.012528
_dl_map_object_from_fd,1,1,2,336,336,672,0.006815,0.024096,0.009486
init_tls,0,1,1,0,150,150,0,0,0.006658
syscall_arch_prctl,1,0,1,286,0,286,0.194042,0,0.0127
mprotect,0,1,1,0,504,504,0,0,0.006658
dl_main,1,1,2,504,504,1008,0,0,0.012314
syscall_mprotect,1,0,1,504,0,504,0.194042,0,0.0127
munmap,0,1,1,0,168,168,0,0,0.006658
syscall_munmap,1,0,1,168,0,168,0.194042,0,0.0127
__brk,0,1,1,0,336,336,0,0.003289,0.006658
__GI___libc_open,0,1,1,0,6,6,0,0.003289,0.006658
__dup2,0,1,1,0,1,1,0,0,0.006658
__libc_start_main,2,6,8,600769,600769,1201538,0,0.289825,0.056463
syscall_dup2,1,0,1,1,0,1,0.076294,0,0.014674
__fxstat64,0,2,2,0,339,339,0,0.021152,0.006658
__libc_fork,0,1,1,0,317,317,0,0,0.006658
syscall_clone,1,0,1,317,0,317,0,0,0.012314
__GI___wait4,0,4,4,0,320,320,0,0.026151,0.006658
main,6,1,7,600768,600768,1201536,0.051232,0,0.051955
syscall_wait4,2,0,2,320,0,320,0.100798,0,0.017739
__GI___getppid,0,3,3,0,168,168,0,0.024204,0.006658
syscall_getppid,2,0,2,168,0,168,0.100798,0,0.017739
__getpid,0,3,3,0,168,168,0,0.024204,0.006658
syscall_getpid,2,0,2,168,0,168,0.100798,0,0.017739
__open64_nocancel,0,2,2,0,168,168,0,0.130792,0.006658
__read_nocancel,0,1,1,0,2,2,0,0.003289,0.006658
llseek@GLIBC_2.2.5,0,1,1,0,3,3,0,0.003289,0.006658
syscall_lseek,1,0,1,3,0,3,0.194042,0,0.0127
__close_nocancel,0,2,2,0,502,502,0,0.105832,0.006658
factorial,3,5,8,79077,79077,158154,0.007397,0.093089,0.018015
_nl_find_locale,3,1,4,501,501,1002,0.067857,0,0.015142
setlocale,1,3,4,501,501,1002,0,0.314291,0.019528
__mmap,0,1,1,0,167,167,0,0,0.006658
__GI___libc_write,0,1,1,0,179,179,0,0.003289,0.006658
syscall_write,1,0,1,179,0,179,0.194042,0,0.0127
__xstat64,0,1,1,0,168,168,0,0.003289,0.006658
syscall_newstat,1,0,1,168,0,168,0.194042,0,0.0127
findMin,3,2,5,489,489,978,0.019627,0,0.011843
subtract,1,1,2,486,486,972,0,0.001947,0.01169
chain4,4,1,5,600751,600751,1201502,0.021089,0,0.033395
chain1,1,1,2,600751,600751,1201502,0,0.013486,0.035069
read,0,2,2,0,600742,600742,0,0,0.006658
chain7,3,1,4,600748,600748,1201496,0,0.005551,0.025322
chain9,3,1,4,400124,400124,800248,0,0,0.016404
__close,0,3,3,0,5,5,0,0,0.006658
chain2,1,1,2,2,2,4,0,0.013486,0.008543
