Degree
Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase,Importance
syscall_brk,411,411,0,0.0,0.0959999997576233,0.017177615553854993,0.022917350557043838,0.0,0.0,0.0,0.0
brk,137,137,0,0.0,0.0040000013541430235,0.001007299239315555,0.000428683956665378,0.0,0.0,0.0,0.0
[unknown],1806,1806,0,0.0,0.8339999985764734,0.02900885937019349,0.0533443206313134,0.0,0.0,0.0,0.0
syscall_arch_prctl,274,274,0,0.0,0.0020000006770715117,0.0008467152831781941,0.0004429423965681706,0.0,0.0,0.0,0.0
_dl_sysdep_start,959,959,0,0.0,0.2549999990151264,0.026462982294350724,0.025549420697510237,0.0,0.0,0.0,0.0
syscall_access,137,137,0,0.003999997716164216,0.04099999932805076,0.00672992713469842,0.0041964683307436695,0.0,0.0,0.0,0.0
access,137,137,0,0.003999997716164216,0.04099999932805076,0.00672992713469842,0.0041964683307436695,0.0,0.0,0.0,0.0
syscall_openat,417,417,0,0.003999997716164216,0.12700000297627412,0.006856115125772952,0.007104198312376828,0.0,0.0,0.0,0.0
__GI___open64_nocancel,274,274,0,0.003999997716164216,0.12700000297627412,0.006324817508503278,0.007901428425998395,0.0,0.0,0.0,0.0
_dl_map_object,1507,1507,0,0.0009999967005569488,0.38499999936902896,0.002753815486939567,0.010623574533926464,0.0,0.0,0.0,0.0
syscall_newfstat,551,551,0,0.0009999967005569488,0.022000000171829015,0.0019364791307763152,0.001155836362877866,0.0,0.0,0.0,0.0
_fxstat,274,274,0,0.0009999967005569488,0.022000000171829015,0.001967153339867691,0.001543869327472624,0.0,0.0,0.0,0.0
syscall_mmap,1095,1095,0,0.03599999763537198,7.899000000179512,0.060355251134834656,0.23830748194933837,0.0,0.0,0.0,0.0
mmap64,959,959,0,0.03599999763537198,7.899000000179512,0.062301355555271914,0.25457430166133543,0.0,0.0,0.0,0.0
